ID,顧客,依頼の目的,業務担当者,進捗状況,受託,完了,税抜報酬,次期改選,エリア,コメント
E240001,株式会社丹羽工務店,目的変更,横山太郎,完了,2024/02/22,2024/02/29,,,斜里郡,
E240002,特定非営利活動法人東オホーツクシーニックバイウエイサポートセンター,解散,横山太郎,完了,2024/01/07,2024/06/03,,,斜里郡,
E240003,有限会社更科農場,役員変更,横山太郎,完了,2024/02/01,2024/02/29,,,斜里郡,
E240004,有限会社山中農場,役員変更,横山太郎,完了,2024/02/01,2024/02/29,,,斜里郡,
E240005,株式会社小清水農業振興公社,役員変更,横山太郎,完了,,,,,斜里郡,
E240006,株式会社三光エネルギー,本店移転、代表取締役の住所移転,尾崎絵里那,完了,,,,,斜里郡,
E240007,合同会社和田漁業部,代表社員の変更（和田志津子から八幡さんへ）,横山太郎,完了,2024/03/18,2024/04/08,,,斜里郡,
E240008,株式会社ブルーオーシャン・エステート,会社設立,横山太郎,完了,2024/03/21,2024/04/09,,,札幌市,
E240009,斜里通運株式会社,役員変更,横山太郎,完了,,,,,札幌市,
E240010,一般社団法人斜里青年会議所,役員変更,横山太郎,完了,2024/01/01,,,,斜里郡,
E240011,合同会社賛整,解散、清算結了,横山太郎,完了,2024/06/24,,,,斜里郡,
E240012,株式会社ウィズユー,役員変更,横山太郎,完了,2024/07/15,2024/08/09,,,斜里郡,
E240013,株式会社ヘルスリーチ,本店移転、代表取締役の住所移転,笹原,完了,,,,,斜里郡,
E240014,知床生コン,役員変更,笹原,完了,,,,,斜里郡,
E250001,株式会社佐藤製材工場,役員変更,横山太郎,完了,2025/03/01,,22526,,斜里郡,
E250002,合同会社Y.M企画,合同会社設立,横山太郎,完了,2025/03/01,2025/04/14,69124,,斜里郡,
E250003,一般社団法人斜里青年会議所,役員変更,横山太郎,完了,2025/01/01,2025/05/22,,,斜里郡,
E250004,一般社団法人不動産調査技術研究所,設立,横山太郎,完了,2025/02/01,2026/06/03,,,,
E250005,有限会社荻野牧場,役員変更,横山太郎,完了,2025/05/23,2025/06/05,44071,,斜里郡,
E250006,株式会社小清水農業振興公社,目的変更,横山太郎,完了,2025/07/01,2025/07/16,28519,,斜里郡,
E260001,株式会社トコラボ,株式会社設立,横山太郎,進行中,2026/01/03,,,,,
E260002,株式会社上海,役員変更,横山太郎,進行中,2026/01/05,,,,,